Horse_ID,Heart_Rate,Respiration_Rate,Temperature,Movement_Activity,Reaction_Score,Therapy_Readiness,Health_Status,Readiness_Score,Alert,Care_Recommendation
TH01536,38,13,38.0,5,2,High,Critical,0.52,Emergency,Veterinary Checkup
TH01537,52,17,37.8,6,1,High,Healthy,0.58,No Alert,No Change
TH01538,43,12,37.7,4,2,High,Healthy,0.77,No Alert,No Change
TH01539,38,19,38.0,2,3,High,Critical,0.9,Emergency,Veterinary Checkup
TH01540,58,17,37.3,2,1,High,Healthy,0.42,No Alert,No Change
TH01541,59,19,37.3,3,2,High,Healthy,0.47,No Alert,No Change
TH01542,38,13,38.6,2,1,High,Critical,0.94,Emergency,Veterinary Checkup
TH01543,30,11,37.4,1,2,Medium,Critical,0.66,Emergency,Veterinary Checkup
TH01544,55,20,37.9,8,4,High,Healthy,0.34,No Alert,No Change
TH01545,38,16,37.5,5,3,High,Critical,0.73,Emergency,Veterinary Checkup
TH01546,52,18,36.6,1,2,Medium,Critical,0.99,Emergency,Veterinary Checkup
TH01547,30,8,36.5,9,1,Medium,Critical,0.86,Emergency,Veterinary Checkup
TH01548,53,17,37.2,8,3,High,Healthy,0.8,No Alert,No Change
TH01549,32,11,38.0,4,2,Medium,Critical,0.37,Emergency,Veterinary Checkup
TH01550,52,21,37.9,8,2,High,Healthy,0.9,No Alert,No Change
TH01551,45,12,38.0,7,2,High,Healthy,0.62,No Alert,No Change
TH01552,35,14,37.0,7,2,High,Critical,0.91,Emergency,Veterinary Checkup
TH01553,40,14,38.3,1,4,High,Healthy,0.46,No Alert,No Change
TH01554,51,19,37.0,6,3,High,Healthy,0.25,No Alert,No Change
TH01555,46,15,37.6,4,4,High,Healthy,0.58,No Alert,No Change
TH01556,50,15,37.5,2,3,High,Healthy,0.42,No Alert,No Change
TH01557,64,23,37.4,7,2,High,Healthy,0.77,No Alert,No Change
TH01558,30,11,38.2,9,3,Medium,Critical,0.97,Emergency,Veterinary Checkup
TH01559,61,22,37.1,5,1,High,Healthy,0.75,No Alert,No Change
TH01560,46,15,36.8,8,3,Medium,Healthy,0.91,No Alert,No Change
TH01561,36,11,37.5,5,1,High,Critical,0.56,Emergency,Veterinary Checkup
TH01562,31,8,37.3,7,1,Medium,Critical,0.82,Emergency,Veterinary Checkup
TH01563,43,16,39.2,7,4,Low,Healthy,0.87,No Alert,No Change
TH01564,54,19,37.8,9,3,High,Healthy,0.77,No Alert,No Change
TH01565,43,12,37.3,3,2,High,Healthy,0.61,No Alert,No Change
TH01566,60,19,37.0,1,3,High,Healthy,0.7,No Alert,No Change
TH01567,30,9,36.6,2,4,Medium,Critical,0.76,Emergency,Veterinary Checkup
TH01568,44,12,37.0,6,1,High,Healthy,0.4,No Alert,No Change
TH01569,32,9,37.6,9,1,Medium,Critical,0.85,Emergency,Veterinary Checkup
TH01570,48,14,38.2,3,4,High,Healthy,0.96,No Alert,No Change
TH01571,53,17,38.1,2,4,High,Healthy,0.57,No Alert,No Change
TH01572,40,12,37.6,1,3,High,Healthy,0.76,No Alert,No Change
TH01573,30,8,37.3,2,1,Medium,Critical,0.79,Emergency,Veterinary Checkup
TH01574,46,19,37.6,3,4,High,Healthy,0.73,No Alert,No Change
TH01575,49,19,37.2,7,3,High,Healthy,0.64,No Alert,No Change
TH01576,49,15,38.4,2,3,High,Healthy,0.91,No Alert,No Change
TH01577,57,20,37.4,5,2,High,Healthy,0.56,No Alert,No Change
TH01578,34,12,37.5,2,1,Medium,Critical,0.25,Emergency,Veterinary Checkup
TH01579,51,19,36.5,7,3,Medium,Critical,0.88,Emergency,Veterinary Checkup
TH01580,56,17,37.4,8,4,High,Healthy,0.74,No Alert,No Change
TH01581,30,12,37.9,8,1,Medium,Critical,0.88,Emergency,Veterinary Checkup
TH01582,48,15,37.0,8,4,High,Healthy,0.31,No Alert,No Change
TH01583,39,10,37.1,9,4,High,Critical,0.22,Emergency,Veterinary Checkup
TH01584,44,16,37.9,1,3,High,Healthy,0.95,No Alert,No Change
TH01585,48,19,36.8,1,3,Medium,Healthy,0.32,No Alert,No Change
TH01586,40,19,38.0,2,2,High,Healthy,0.85,No Alert,No Change
TH01587,38,10,37.2,6,4,High,Critical,0.86,Emergency,Veterinary Checkup
TH01588,45,16,37.3,1,3,High,Healthy,0.77,No Alert,No Change
TH01589,34,11,36.9,5,2,Medium,Critical,0.31,Emergency,Veterinary Checkup
TH01590,34,13,37.7,5,1,Medium,Critical,0.73,Emergency,Veterinary Checkup
TH01591,51,14,38.7,4,2,High,Healthy,0.91,No Alert,No Change
TH01592,33,8,37.9,5,2,Medium,Critical,0.54,Emergency,Veterinary Checkup
TH01593,51,15,37.1,1,4,High,Healthy,0.53,No Alert,No Change
TH01594,49,16,38.1,6,1,High,Healthy,0.55,No Alert,No Change
TH01595,30,9,37.3,7,4,Medium,Critical,0.27,Emergency,Veterinary Checkup
TH01596,38,14,38.2,8,4,High,Critical,0.91,Emergency,Veterinary Checkup
TH01597,56,21,37.9,2,2,High,Healthy,0.9,No Alert,No Change
TH01598,35,13,36.5,7,2,Medium,Critical,1.0,Emergency,Veterinary Checkup
TH01599,40,17,37.0,6,3,High,Healthy,0.67,No Alert,No Change
TH01600,49,17,38.0,9,2,High,Healthy,0.8,No Alert,No Change
TH01601,52,15,37.6,8,3,High,Healthy,0.36,No Alert,No Change
TH01602,42,17,37.0,4,4,High,Healthy,0.73,No Alert,No Change
TH01603,39,12,37.2,9,2,High,Critical,0.72,Emergency,Veterinary Checkup
TH01604,59,21,36.5,1,1,Medium,Critical,0.92,Emergency,Veterinary Checkup
TH01605,62,24,37.5,6,1,High,Healthy,0.86,No Alert,No Change
TH01606,54,19,38.6,8,4,High,Healthy,0.95,No Alert,No Change
TH01607,45,12,37.9,4,4,High,Healthy,0.9,No Alert,No Change
TH01608,36,10,38.6,2,2,High,Critical,0.89,Emergency,Veterinary Checkup
TH01609,36,15,37.9,2,3,High,Critical,0.25,Emergency,Veterinary Checkup
TH01610,50,16,38.0,1,2,High,Healthy,0.88,No Alert,No Change
TH01611,49,16,38.5,5,3,High,Healthy,0.69,No Alert,No Change
TH01612,59,21,37.7,6,2,High,Healthy,0.5,No Alert,No Change
TH01613,51,18,37.4,4,1,High,Healthy,0.25,No Alert,No Change
TH01614,30,11,38.0,4,1,Medium,Critical,0.74,Emergency,Veterinary Checkup
TH01615,55,18,38.2,5,3,High,Healthy,0.46,No Alert,No Change
TH01616,35,11,37.3,5,2,High,Critical,0.57,Emergency,Veterinary Checkup
TH01617,41,15,37.1,9,4,High,Healthy,0.75,No Alert,No Change
TH01618,47,17,37.6,8,3,High,Healthy,0.93,No Alert,No Change
TH01619,64,21,37.9,9,1,High,Healthy,0.86,No Alert,No Change
TH01620,76,27,37.9,3,3,Low,Critical,0.56,Emergency,Veterinary Checkup
TH01621,51,17,36.8,3,2,Medium,Healthy,0.51,No Alert,No Change
TH01622,43,13,38.5,1,4,High,Healthy,0.39,No Alert,No Change
TH01623,50,15,37.2,6,4,High,Healthy,0.5,No Alert,No Change
TH01624,53,16,37.4,4,3,High,Healthy,0.29,No Alert,No Change
TH01625,41,13,37.0,8,2,High,Healthy,0.98,No Alert,No Change
TH01626,62,23,38.8,2,2,High,Healthy,0.66,No Alert,No Change
TH01627,47,14,37.6,2,4,High,Healthy,0.3,No Alert,No Change
TH01628,49,17,37.1,7,1,High,Healthy,0.48,No Alert,No Change
TH01629,51,16,37.9,5,2,High,Healthy,0.64,No Alert,No Change
TH01630,49,16,37.9,1,4,High,Healthy,0.63,No Alert,No Change
TH01631,53,15,37.4,7,4,High,Healthy,0.23,No Alert,No Change
TH01632,38,12,37.9,7,2,High,Critical,0.96,Emergency,Veterinary Checkup
TH01633,39,13,37.1,6,2,High,Critical,0.42,Emergency,Veterinary Checkup
TH01634,33,12,37.3,4,3,Medium,Critical,0.21,Emergency,Veterinary Checkup
TH01635,49,17,36.5,8,1,Medium,Critical,0.26,Emergency,Veterinary Checkup
TH01636,52,15,36.8,2,3,Medium,Healthy,0.66,No Alert,No Change
TH01637,49,19,38.4,2,3,High,Healthy,0.31,No Alert,No Change
TH01638,61,21,38.3,2,4,High,Healthy,0.23,No Alert,No Change
TH01639,44,15,37.5,3,4,High,Healthy,0.5,No Alert,No Change
TH01640,51,17,38.3,6,1,High,Healthy,0.7,No Alert,No Change
TH01641,34,10,37.4,1,3,Medium,Critical,0.29,Emergency,Veterinary Checkup
TH01642,41,14,37.4,2,3,High,Healthy,0.45,No Alert,No Change
TH01643,51,18,37.5,2,4,High,Healthy,0.53,No Alert,No Change
TH01644,53,14,37.4,1,4,High,Healthy,0.33,No Alert,No Change
TH01645,42,13,37.4,3,2,High,Healthy,0.6,No Alert,No Change
TH01646,44,14,38.1,7,3,High,Healthy,0.27,No Alert,No Change
TH01647,30,11,37.6,1,1,Medium,Critical,0.24,Emergency,Veterinary Checkup
TH01648,41,16,37.9,7,3,High,Healthy,0.62,No Alert,No Change
TH01649,53,16,38.0,5,4,High,Healthy,0.4,No Alert,No Change
TH01650,50,16,37.7,9,2,High,Healthy,0.28,No Alert,No Change
TH01651,50,16,37.0,2,3,High,Healthy,0.54,No Alert,No Change
TH01652,45,13,36.8,1,1,Medium,Healthy,0.93,No Alert,No Change
TH01653,45,14,37.6,9,4,High,Healthy,0.78,No Alert,No Change
TH01654,38,14,37.4,8,2,High,Critical,0.85,Emergency,Veterinary Checkup
TH01655,51,15,37.5,6,3,High,Healthy,0.9,No Alert,No Change
TH01656,49,17,37.5,5,1,High,Healthy,0.98,No Alert,No Change
TH01657,49,13,38.8,8,4,High,Healthy,0.81,No Alert,No Change
TH01658,39,12,36.8,8,1,Medium,Critical,0.69,Emergency,Veterinary Checkup
TH01659,30,9,36.5,5,3,Medium,Critical,0.49,Emergency,Veterinary Checkup
TH01660,55,22,37.7,7,4,High,Healthy,0.35,No Alert,No Change
TH01661,40,13,37.3,1,3,High,Healthy,0.75,No Alert,No Change
TH01662,36,8,37.7,4,2,High,Critical,1.0,Emergency,Veterinary Checkup
TH01663,51,13,37.8,2,3,High,Healthy,0.57,No Alert,No Change
TH01664,41,14,38.1,3,2,High,Healthy,0.78,No Alert,No Change
TH01665,55,20,36.7,1,3,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH01666,51,18,37.2,2,1,High,Healthy,0.55,No Alert,No Change
TH01667,51,17,37.7,1,1,High,Healthy,0.53,No Alert,No Change
TH01668,31,13,37.9,8,4,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH01669,57,18,38.6,4,1,High,Healthy,0.49,No Alert,No Change
TH01670,47,17,38.0,3,1,High,Healthy,0.8,No Alert,No Change
TH01671,41,10,37.5,1,2,High,Healthy,0.9,No Alert,No Change
TH01672,46,14,37.1,2,1,High,Healthy,0.91,No Alert,No Change
TH01673,30,8,37.2,3,2,Medium,Critical,0.38,Emergency,Veterinary Checkup
TH01674,49,16,37.2,3,2,High,Healthy,0.92,No Alert,No Change
TH01675,34,11,37.8,6,2,Medium,Critical,0.47,Emergency,Veterinary Checkup
TH01676,31,11,37.6,8,3,Medium,Critical,0.45,Emergency,Veterinary Checkup
TH01677,30,10,36.8,6,2,Medium,Critical,0.78,Emergency,Veterinary Checkup
TH01678,56,17,37.3,2,3,High,Healthy,0.44,No Alert,No Change
TH01679,38,12,37.9,2,2,High,Critical,0.24,Emergency,Veterinary Checkup
TH01680,60,17,37.7,7,3,High,Healthy,0.5,No Alert,No Change
TH01681,39,16,37.8,1,4,High,Critical,0.78,Emergency,Veterinary Checkup
TH01682,30,9,37.7,1,4,Medium,Critical,0.46,Emergency,Veterinary Checkup
TH01683,33,10,38.3,7,3,Medium,Critical,0.7,Emergency,Veterinary Checkup
TH01684,57,22,37.6,9,4,High,Healthy,0.73,No Alert,No Change
TH01685,43,12,37.3,5,1,High,Healthy,0.79,No Alert,No Change
TH01686,39,11,37.0,1,2,High,Critical,0.92,Emergency,Veterinary Checkup
TH01687,46,13,37.6,5,3,High,Healthy,0.55,No Alert,No Change
TH01688,50,17,36.5,1,4,Medium,Critical,0.33,Emergency,Veterinary Checkup
TH01689,56,20,37.4,9,4,High,Healthy,0.46,No Alert,No Change
TH01690,59,21,37.4,4,1,High,Healthy,0.55,No Alert,No Change
TH01691,41,19,36.8,9,2,Medium,Healthy,0.77,No Alert,No Change
TH01692,31,8,37.0,2,1,Medium,Critical,0.21,Emergency,Veterinary Checkup
TH01693,40,15,37.9,7,3,High,Healthy,0.45,No Alert,No Change
TH01694,47,15,37.6,2,4,High,Healthy,0.82,No Alert,No Change
TH01695,35,10,37.6,4,4,High,Critical,0.74,Emergency,Veterinary Checkup
TH01696,35,10,37.7,6,4,High,Critical,0.79,Emergency,Veterinary Checkup
TH01697,48,14,37.5,2,1,High,Healthy,0.85,No Alert,No Change
TH01698,44,18,38.1,2,1,High,Healthy,0.83,No Alert,No Change
TH01699,45,17,37.6,2,2,High,Healthy,0.75,No Alert,No Change
TH01700,37,12,36.8,3,3,Medium,Critical,0.55,Emergency,Veterinary Checkup
TH01701,42,17,38.3,5,2,High,Healthy,0.99,No Alert,No Change
TH01702,35,9,37.7,9,2,High,Critical,0.66,Emergency,Veterinary Checkup
TH01703,53,15,37.2,6,4,High,Healthy,0.36,No Alert,No Change
TH01704,55,14,36.9,9,1,Medium,Healthy,0.43,No Alert,No Change
TH01705,30,9,37.7,5,3,Medium,Critical,0.75,Emergency,Veterinary Checkup
TH01706,35,12,37.4,6,2,High,Critical,0.94,Emergency,Veterinary Checkup
TH01707,30,10,38.3,8,3,Medium,Critical,0.34,Emergency,Veterinary Checkup
TH01708,38,13,37.3,3,4,High,Critical,0.27,Emergency,Veterinary Checkup
TH01709,44,12,37.1,2,2,High,Healthy,0.91,No Alert,No Change
TH01710,30,12,37.9,3,1,Medium,Critical,0.93,Emergency,Veterinary Checkup
TH01711,35,12,38.0,9,2,High,Critical,0.42,Emergency,Veterinary Checkup
TH01712,34,13,37.6,6,4,Medium,Critical,0.5,Emergency,Veterinary Checkup
TH01713,47,12,37.8,4,2,High,Healthy,0.73,No Alert,No Change
TH01714,45,16,37.5,3,4,High,Healthy,0.46,No Alert,No Change
TH01715,37,10,37.6,2,2,High,Critical,0.9,Emergency,Veterinary Checkup
TH01716,46,15,38.1,4,3,High,Healthy,0.29,No Alert,No Change
TH01717,39,14,37.8,9,1,High,Critical,0.23,Emergency,Veterinary Checkup
TH01718,42,14,37.4,4,4,High,Healthy,0.37,No Alert,No Change
TH01719,61,19,38.2,5,3,High,Healthy,0.43,No Alert,No Change
TH01720,58,19,36.5,8,4,Medium,Critical,0.29,Emergency,Veterinary Checkup
TH01721,32,8,38.5,2,2,Medium,Critical,0.25,Emergency,Veterinary Checkup
TH01722,53,20,36.6,3,4,Medium,Critical,0.8,Emergency,Veterinary Checkup
TH01723,53,17,37.2,6,4,High,Healthy,0.33,No Alert,No Change
TH01724,33,13,37.5,7,1,Medium,Critical,0.93,Emergency,Veterinary Checkup
TH01725,53,17,37.4,4,3,High,Healthy,0.49,No Alert,No Change
TH01726,60,19,38.0,1,2,High,Healthy,0.74,No Alert,No Change
TH01727,33,9,37.0,7,1,Medium,Critical,0.38,Emergency,Veterinary Checkup
TH01728,35,13,37.6,9,4,High,Critical,0.39,Emergency,Veterinary Checkup
TH01729,55,17,37.2,1,1,High,Healthy,0.66,No Alert,No Change
TH01730,47,17,37.6,1,4,High,Healthy,0.65,No Alert,No Change
TH01731,50,16,37.5,1,2,High,Healthy,0.81,No Alert,No Change
TH01732,48,12,37.5,7,4,High,Healthy,0.81,No Alert,No Change
TH01733,48,15,37.2,9,1,High,Healthy,0.74,No Alert,No Change
TH01734,31,8,37.2,3,1,Medium,Critical,0.56,Emergency,Veterinary Checkup
TH01735,55,18,37.6,8,4,High,Healthy,0.91,No Alert,No Change
TH01736,56,16,38.0,9,3,High,Healthy,0.7,No Alert,No Change
TH01737,42,16,37.2,3,1,High,Healthy,0.99,No Alert,No Change
TH01738,44,14,37.1,3,3,High,Healthy,0.86,No Alert,No Change
TH01739,30,10,37.8,1,3,Medium,Critical,0.24,Emergency,Veterinary Checkup
TH01740,50,18,37.5,2,3,High,Healthy,0.46,No Alert,No Change
TH01741,50,19,37.9,7,3,High,Healthy,0.66,No Alert,No Change
TH01742,44,15,37.0,3,1,High,Healthy,0.78,No Alert,No Change
TH01743,56,17,36.6,7,1,Medium,Critical,0.64,Emergency,Veterinary Checkup
TH01744,41,10,37.2,5,3,High,Healthy,0.83,No Alert,No Change
TH01745,50,15,37.1,8,1,High,Healthy,0.43,No Alert,No Change
TH01746,34,10,37.5,5,3,Medium,Critical,0.35,Emergency,Veterinary Checkup
TH01747,44,15,37.2,3,3,High,Healthy,0.24,No Alert,No Change
TH01748,43,14,37.9,9,3,High,Healthy,0.66,No Alert,No Change
TH01749,47,17,37.4,7,4,High,Healthy,0.75,No Alert,No Change
TH01750,41,12,37.6,5,2,High,Healthy,0.46,No Alert,No Change
TH01751,43,14,37.6,7,1,High,Healthy,0.69,No Alert,No Change
TH01752,53,20,37.6,9,1,High,Healthy,0.24,No Alert,No Change
TH01753,40,14,37.5,5,3,High,Healthy,0.28,No Alert,No Change
TH01754,30,10,37.8,7,4,Medium,Critical,0.76,Emergency,Veterinary Checkup
TH01755,62,19,37.1,9,4,High,Healthy,0.49,No Alert,No Change
TH01756,58,18,38.2,1,1,High,Healthy,0.74,No Alert,No Change
TH01757,32,9,37.4,4,3,Medium,Critical,0.87,Emergency,Veterinary Checkup
TH01758,51,16,36.8,1,1,Medium,Healthy,0.88,No Alert,No Change
TH01759,39,15,37.6,8,3,High,Critical,0.34,Emergency,Veterinary Checkup
TH01760,47,15,37.1,3,3,High,Healthy,0.59,No Alert,No Change
TH01761,47,13,37.8,2,2,High,Healthy,0.79,No Alert,No Change
TH01762,42,18,38.6,4,3,High,Healthy,0.82,No Alert,No Change
TH01763,37,13,37.1,3,2,High,Critical,0.83,Emergency,Veterinary Checkup
TH01764,38,10,37.7,5,1,High,Critical,0.38,Emergency,Veterinary Checkup
TH01765,35,11,36.6,8,1,Medium,Critical,0.35,Emergency,Veterinary Checkup
TH01766,36,12,37.7,8,4,High,Critical,0.67,Emergency,Veterinary Checkup
TH01767,44,18,37.1,7,2,High,Healthy,0.79,No Alert,No Change
TH01768,37,10,37.2,8,1,High,Critical,0.46,Emergency,Veterinary Checkup
TH01769,51,19,36.9,5,2,Medium,Healthy,0.28,No Alert,No Change
TH01770,59,22,37.9,6,1,High,Healthy,0.77,No Alert,No Change
TH01771,39,12,38.0,8,2,High,Critical,0.44,Emergency,Veterinary Checkup
TH01772,47,15,37.5,1,2,High,Healthy,0.33,No Alert,No Change
TH01773,49,14,37.1,6,3,High,Healthy,0.32,No Alert,No Change
TH01774,49,16,38.3,6,1,High,Healthy,0.45,No Alert,No Change
TH01775,45,15,37.1,5,4,High,Healthy,0.67,No Alert,No Change
TH01776,52,19,36.5,4,3,Medium,Critical,0.49,Emergency,Veterinary Checkup
TH01777,49,19,37.7,1,4,High,Healthy,0.22,No Alert,No Change
TH01778,32,9,36.9,8,2,Medium,Critical,0.28,Emergency,Veterinary Checkup
TH01779,53,14,38.0,6,3,High,Healthy,0.43,No Alert,No Change
TH01780,53,18,37.3,3,2,High,Healthy,0.73,No Alert,No Change
TH01781,37,13,37.8,3,1,High,Critical,0.28,Emergency,Veterinary Checkup
TH01782,45,15,38.2,6,1,High,Healthy,0.65,No Alert,No Change
TH01783,51,16,36.9,7,4,Medium,Healthy,0.3,No Alert,No Change
TH01784,42,14,37.2,8,1,High,Healthy,0.37,No Alert,No Change
TH01785,55,21,37.5,5,4,High,Healthy,0.34,No Alert,No Change
TH01786,68,23,38.3,6,2,Low,Healthy,0.25,No Alert,No Change
TH01787,37,12,37.2,1,3,High,Critical,0.74,Emergency,Veterinary Checkup
TH01788,31,9,37.2,6,1,Medium,Critical,0.57,Emergency,Veterinary Checkup
TH01789,48,16,37.7,9,2,High,Healthy,0.86,No Alert,No Change
TH01790,52,21,37.2,4,3,High,Healthy,0.28,No Alert,No Change
TH01791,42,14,37.6,1,2,High,Healthy,0.32,No Alert,No Change
TH01792,59,20,36.7,9,4,Medium,Critical,0.45,Emergency,Veterinary Checkup
TH01793,31,9,38.6,4,2,Medium,Critical,0.81,Emergency,Veterinary Checkup
TH01794,51,19,36.8,2,4,Medium,Healthy,0.44,No Alert,No Change
TH01795,38,17,37.3,1,4,High,Critical,0.53,Emergency,Veterinary Checkup
TH01796,62,22,37.5,3,1,High,Healthy,0.44,No Alert,No Change
TH01797,64,21,38.5,7,4,High,Healthy,0.26,No Alert,No Change
TH01798,37,12,36.8,2,4,Medium,Critical,0.95,Emergency,Veterinary Checkup
TH01799,39,8,38.5,9,2,High,Critical,0.64,Emergency,Veterinary Checkup
TH01800,53,19,37.9,2,4,High,Healthy,0.83,No Alert,No Change
TH01801,41,14,37.7,5,4,High,Healthy,0.73,No Alert,No Change
TH01802,44,16,37.0,8,2,High,Healthy,0.61,No Alert,No Change
TH01803,45,14,37.8,8,3,High,Healthy,0.27,No Alert,No Change
TH01804,30,9,37.1,3,1,Medium,Critical,0.71,Emergency,Veterinary Checkup
TH01805,44,14,38.1,2,2,High,Healthy,0.32,No Alert,No Change
TH01806,38,15,37.0,9,4,High,Critical,0.53,Emergency,Veterinary Checkup
TH01807,40,13,37.4,3,2,High,Healthy,0.7,No Alert,No Change
TH01808,59,24,37.2,8,3,High,Healthy,0.83,No Alert,No Change
TH01809,32,12,37.0,2,2,Medium,Critical,0.75,Emergency,Veterinary Checkup
TH01810,53,15,37.9,3,2,High,Healthy,0.74,No Alert,No Change
TH01811,42,14,37.8,1,2,High,Healthy,0.32,No Alert,No Change
TH01812,42,13,38.1,6,2,High,Healthy,0.48,No Alert,No Change
TH01813,52,13,36.6,7,4,Medium,Critical,0.23,Emergency,Veterinary Checkup
TH01814,48,19,38.0,4,2,High,Healthy,0.78,No Alert,No Change
TH01815,50,18,38.8,1,3,High,Healthy,0.96,No Alert,No Change
TH01816,54,19,37.3,3,2,High,Healthy,0.41,No Alert,No Change
TH01817,41,14,38.4,9,2,High,Healthy,0.27,No Alert,No Change
TH01818,38,10,37.4,5,4,High,Critical,0.58,Emergency,Veterinary Checkup
TH01819,34,10,36.8,6,4,Medium,Critical,0.89,Emergency,Veterinary Checkup
TH01820,36,14,37.3,4,2,High,Critical,0.64,Emergency,Veterinary Checkup
TH01821,74,23,38.0,1,4,Low,Critical,0.24,Emergency,Veterinary Checkup
TH01822,57,14,37.1,5,4,High,Healthy,0.98,No Alert,No Change
TH01823,31,10,37.2,5,2,Medium,Critical,0.86,Emergency,Veterinary Checkup
TH01824,31,10,37.8,5,4,Medium,Critical,0.31,Emergency,Veterinary Checkup
TH01825,49,17,37.5,6,1,High,Healthy,0.94,No Alert,No Change
TH01826,50,18,37.8,2,1,High,Healthy,0.56,No Alert,No Change
TH01827,50,18,37.6,1,1,High,Healthy,0.5,No Alert,No Change
TH01828,42,15,37.7,2,4,High,Healthy,0.57,No Alert,No Change
TH01829,43,17,37.3,6,1,High,Healthy,0.87,No Alert,No Change
TH01830,48,13,37.6,5,3,High,Healthy,0.73,No Alert,No Change
TH01831,45,16,37.0,5,1,High,Healthy,0.25,No Alert,No Change
TH01832,30,11,38.1,6,3,Medium,Critical,0.97,Emergency,Veterinary Checkup
TH01833,42,12,37.2,7,4,High,Healthy,0.32,No Alert,No Change
TH01834,36,9,38.1,9,1,High,Critical,0.8,Emergency,Veterinary Checkup
TH01835,46,14,37.4,7,3,High,Healthy,0.71,No Alert,No Change
TH01836,74,23,37.6,2,4,Low,Critical,0.35,Emergency,Veterinary Checkup
TH01837,48,18,37.3,6,1,High,Healthy,0.34,No Alert,No Change
TH01838,41,12,37.0,9,2,High,Healthy,0.9,No Alert,No Change
TH01839,54,16,36.6,7,1,Medium,Critical,0.54,Emergency,Veterinary Checkup
TH01840,49,15,37.0,2,1,High,Healthy,0.72,No Alert,No Change
TH01841,49,19,37.3,3,1,High,Healthy,0.6,No Alert,No Change
TH01842,51,17,37.6,8,2,High,Healthy,0.78,No Alert,No Change
TH01843,65,21,38.0,9,3,High,Healthy,0.58,No Alert,No Change
TH01844,33,11,37.3,4,3,Medium,Critical,0.43,Emergency,Veterinary Checkup
TH01845,49,19,37.1,9,2,High,Healthy,0.49,No Alert,No Change
TH01846,35,10,36.8,2,1,Medium,Critical,0.89,Emergency,Veterinary Checkup
TH01847,50,19,37.7,5,1,High,Healthy,0.57,No Alert,No Change
TH01848,35,12,38.2,2,1,High,Critical,0.37,Emergency,Veterinary Checkup
TH01849,40,13,38.1,1,3,High,Healthy,0.95,No Alert,No Change
TH01850,42,19,37.9,5,3,High,Healthy,0.84,No Alert,No Change
TH01851,54,16,37.8,2,2,High,Healthy,0.24,No Alert,No Change
TH01852,54,17,38.3,7,4,High,Healthy,1.0,No Alert,No Change
TH01853,32,8,37.7,8,2,Medium,Critical,0.76,Emergency,Veterinary Checkup
TH01854,45,17,37.8,2,3,High,Healthy,0.33,No Alert,No Change
TH01855,37,16,37.3,7,1,High,Critical,0.39,Emergency,Veterinary Checkup
TH01856,32,14,36.8,4,1,Medium,Critical,0.75,Emergency,Veterinary Checkup
TH01857,42,16,37.2,1,1,High,Healthy,0.82,No Alert,No Change
TH01858,41,13,37.5,3,1,High,Healthy,0.39,No Alert,No Change
TH01859,69,22,37.5,1,4,Low,Healthy,0.41,No Alert,No Change
TH01860,49,13,38.5,5,2,High,Healthy,0.45,No Alert,No Change
TH01861,31,14,37.5,8,2,Medium,Critical,0.68,Emergency,Veterinary Checkup
TH01862,39,14,38.1,1,3,High,Critical,0.34,Emergency,Veterinary Checkup
TH01863,55,17,37.3,9,2,High,Healthy,0.28,No Alert,No Change
TH01864,65,24,37.3,3,4,High,Healthy,0.74,No Alert,No Change
TH01865,30,8,36.8,5,4,Medium,Critical,0.82,Emergency,Veterinary Checkup
TH01866,30,11,37.1,9,4,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH01867,63,21,37.8,5,1,High,Healthy,0.49,No Alert,No Change
TH01868,48,17,37.5,9,3,High,Healthy,0.55,No Alert,No Change
TH01869,36,12,38.0,8,4,High,Critical,0.51,Emergency,Veterinary Checkup
TH01870,50,14,37.6,7,2,High,Healthy,0.97,No Alert,No Change
TH01871,30,10,37.3,1,2,Medium,Critical,0.81,Emergency,Veterinary Checkup
TH01872,45,17,38.6,4,2,High,Healthy,0.37,No Alert,No Change
TH01873,48,16,37.5,9,4,High,Healthy,0.51,No Alert,No Change
TH01874,54,20,38.1,8,4,High,Healthy,0.64,No Alert,No Change
TH01875,34,9,37.3,4,2,Medium,Critical,0.69,Emergency,Veterinary Checkup
TH01876,45,15,37.9,1,4,High,Healthy,0.57,No Alert,No Change
TH01877,35,10,38.0,4,2,High,Critical,0.85,Emergency,Veterinary Checkup
TH01878,47,17,37.6,3,1,High,Healthy,0.81,No Alert,No Change
TH01879,36,12,36.5,6,4,Medium,Critical,0.6,Emergency,Veterinary Checkup
TH01880,40,15,37.5,5,1,High,Healthy,0.88,No Alert,No Change
TH01881,35,14,38.1,5,1,High,Critical,0.8,Emergency,Veterinary Checkup
TH01882,51,18,37.8,2,4,High,Healthy,0.82,No Alert,No Change
TH01883,53,18,37.7,3,2,High,Healthy,0.97,No Alert,No Change
TH01884,42,12,36.6,6,3,Medium,Critical,0.41,Emergency,Veterinary Checkup
TH01885,45,15,37.1,2,1,High,Healthy,0.41,No Alert,No Change
TH01886,30,9,37.7,4,4,Medium,Critical,0.91,Emergency,Veterinary Checkup
TH01887,42,13,37.7,2,1,High,Healthy,0.82,No Alert,No Change
TH01888,44,14,38.1,9,2,High,Healthy,0.94,No Alert,No Change
